LID,Year,Val
30,2033,59.802994
30,2034,59.756488
30,2035,59.709982
30,2036,59.6429868
30,2037,59.5759916
30,2038,59.5089964
30,2039,59.4420012
30,2040,59.375006
30,2041,59.2741844
30,2042,59.1733628
30,2043,59.0725412
30,2044,58.9717196
30,2045,58.870898
30,2046,58.7217248
30,2047,58.5725516
30,2048,58.4233784
30,2049,58.2742052
30,2050,58.125032
30,2051,58.0549796
30,2052,57.9299822
30,2053,57.8049848
30,2054,57.6799874
30,2055,57.55499
30,2056,57.4299926
30,2057,57.3049952
30,2058,57.1799978
30,2059,57.0550004
30,2060,56.930003
31,2020,2.793592
31,2021,2.7764566
31,2022,2.7593212
31,2023,2.7421858
31,2024,2.7250504
31,2025,2.707915
31,2026,2.6814426
31,2027,2.6549702
31,2028,2.6284978
31,2029,2.6020254
31,2030,2.575553
31,2031,2.550905
31,2032,2.526257
31,2033,2.501609
31,2034,2.476961
31,2035,2.452313
31,2036,2.42979
31,2037,2.407267
31,2038,2.384744
31,2039,2.362221
31,2040,2.339698
31,2041,2.3189868
31,2042,2.2982756
31,2043,2.2775644
31,2044,2.2568532
31,2045,2.236142
31,2046,2.2165014
31,2047,2.1968608
31,2048,2.1772202
31,2049,2.1575796
31,2050,2.137939
31,2051,2.116546509
31,2052,2.096370609
31,2053,2.076194709
31,2054,2.056018809
31,2055,2.035842909
31,2056,2.015667009
31,2057,1.995491109
31,2058,1.975315209
31,2059,1.955139309
31,2060,1.934963409
32,2020,0.626031
32,2021,0.6332976
32,2022,0.6405642
32,2023,0.6478308
32,2024,0.6550974
32,2025,0.662364
32,2026,0.6684356
32,2027,0.6745072
32,2028,0.6805788
32,2029,0.6866504
32,2030,0.692722
32,2031,0.6977984
32,2032,0.7028748
32,2033,0.7079512
32,2034,0.7130276
32,2035,0.718104
32,2036,0.7223106
32,2037,0.7265172
32,2038,0.7307238
32,2039,0.7349304
32,2040,0.739137
32,2041,0.7425526
32,2042,0.7459682
32,2043,0.7493838
32,2044,0.7527994
32,2045,0.756215
32,2046,0.7587816
32,2047,0.7613482
32,2048,0.7639148
32,2049,0.7664814
32,2050,0.769048
32,2051,0.773003873
32,2052,0.775994973
32,2053,0.778986073
32,2054,0.781977173
32,2055,0.784968273
32,2056,0.787959373
32,2057,0.790950473
32,2058,0.793941573
32,2059,0.796932673
32,2060,0.799923773
33,2020,1.907094
33,2021,1.8887852
33,2022,1.8704764
33,2023,1.8521676
33,2024,1.8338588
33,2025,1.81555
33,2026,1.7949892
33,2027,1.7744284
33,2028,1.7538676
33,2029,1.7333068
33,2030,1.712746
33,2031,1.6939622
33,2032,1.6751784
33,2033,1.6563946
33,2034,1.6376108
33,2035,1.618827
33,2036,1.6022832
33,2037,1.5857394
33,2038,1.5691956
33,2039,1.5526518
33,2040,1.536108
33,2041,1.5213964
33,2042,1.5066848
33,2043,1.4919732
33,2044,1.4772616
33,2045,1.46255
33,2046,1.4490478
33,2047,1.4355456
33,2048,1.4220434
33,2049,1.4085412
33,2050,1.395039
33,2051,1.379557782
33,2052,1.365450882
33,2053,1.351343982
33,2054,1.337237082
33,2055,1.323130182
33,2056,1.309023282
33,2057,1.294916382
33,2058,1.280809482
33,2059,1.266702582
33,2060,1.252595682
34,2020,0.506951
34,2021,0.517046
34,2022,0.527141
34,2023,0.537236
34,2024,0.547331
34,2025,0.557426
34,2026,0.563679
34,2027,0.569932
34,2028,0.576185
34,2029,0.582438
34,2030,0.588691
34,2031,0.5937956
34,2032,0.5989002
34,2033,0.6040048
34,2034,0.6091094
34,2035,0.614214
34,2036,0.6183532
34,2037,0.6224924
34,2038,0.6266316
34,2039,0.6307708
34,2040,0.63491
34,2041,0.6384488
34,2042,0.6419876
34,2043,0.6455264
34,2044,0.6490652
34,2045,0.652604
34,2046,0.6557578
34,2047,0.6589116
34,2048,0.6620654
34,2049,0.6652192
34,2050,0.668373
34,2051,0.6721568
34,2052,0.6755031
34,2053,0.6788494
34,2054,0.6821957
34,2055,0.685542
34,2056,0.6888883
34,2057,0.6922346
34,2058,0.6955809
34,2059,0.6989272
34,2060,0.7022735
35,2020,17.404793
35,2021,17.4740454
35,2022,17.5432978
35,2023,17.6125502
35,2024,17.6818026
35,2025,17.751055
35,2026,17.7948208
35,2027,17.8385866
35,2028,17.8823524
35,2029,17.9261182
35,2030,17.969884
35,2031,17.9998174
35,2032,18.0297508
35,2033,18.0596842
35,2034,18.0896176
35,2035,18.119551
35,2036,18.1327992
35,2037,18.1460474
35,2038,18.1592956
35,2039,18.1725438
35,2040,18.185792
35,2041,18.1857928
35,2042,18.1857936
35,2043,18.1857944
35,2044,18.1857952
35,2045,18.185796
35,2046,18.1770952
35,2047,18.1683944
35,2048,18.1596936
35,2049,18.1509928
35,2050,18.142292
35,2051,18.14783018
35,2052,18.14348018
35,2053,18.13913018
35,2054,18.13478018
35,2055,18.13043018
35,2056,18.12608018
35,2057,18.12173018
35,2058,18.11738018
35,2059,18.11303018
35,2060,18.10868018
36,2020,37.941122
36,2021,37.8663472
36,2022,37.7915724
36,2023,37.7167976
36,2024,37.6420228
36,2025,37.567248
36,2026,37.457489
36,2027,37.34773
36,2028,37.237971
36,2029,37.128212
36,2030,37.018453
36,2031,36.888628
36,2032,36.758803
36,2033,36.628978
36,2034,36.499153
36,2035,36.369328
36,2036,36.2277936
36,2037,36.0862592
36,2038,35.9447248
36,2039,35.8031904
36,2040,35.661656
36,2041,35.5087994
36,2042,35.3559428
36,2043,35.2030862
36,2044,35.0502296
36,2045,34.897373
36,2046,34.7383392
36,2047,34.5793054
36,2048,34.4202716
36,2049,34.2612378
36,2050,34.102204
36,2051,33.95327835
36,2052,33.79733315
36,2053,33.64138795
36,2054,33.48544275
36,2055,33.32949755
36,2056,33.17355235
36,2057,33.01760715
36,2058,32.86166195
36,2059,32.70571675
36,2060,32.54977155
37,2020,10.291457
37,2021,10.2772858
37,2022,10.2631146
37,2023,10.2489434
37,2024,10.2347722
37,2025,10.220601
37,2026,10.1943084
37,2027,10.1680158
37,2028,10.1417232
37,2029,10.1154306
37,2030,10.089138
37,2031,10.0611092
37,2032,10.0330804
37,2033,10.0050516
37,2034,9.9770228
37,2035,9.948994
37,2036,9.9165216
37,2037,9.8840492
37,2038,9.8515768
37,2039,9.8191044
37,2040,9.786632
37,2041,9.7479572
37,2042,9.7092824
37,2043,9.6706076
37,2044,9.6319328
37,2045,9.593258
37,2046,9.5496758
37,2047,9.5060936
37,2048,9.4625114
37,2049,9.4189292
37,2050,9.375347
37,2051,9.339795091
37,2052,9.298666591
37,2053,9.257538091
37,2054,9.216409591
37,2055,9.175281091
37,2056,9.134152591
37,2057,9.093024091
37,2058,9.051895591
37,2059,9.010767091
37,2060,8.969638591
38,2020,19.281118
38,2021,19.1264038
38,2022,18.9716896
38,2023,18.8169754
38,2024,18.6622612
38,2025,18.507547
38,2026,18.3676376
38,2027,18.2277282
38,2028,18.0878188
38,2029,17.9479094
38,2030,17.808
38,2031,17.6802576
38,2032,17.5525152
38,2033,17.4247728
38,2034,17.2970304
38,2035,17.169288
38,2036,17.0506678
38,2037,16.9320476
38,2038,16.8134274
38,2039,16.6948072
38,2040,16.576187
38,2041,16.4647332
38,2042,16.3532794
38,2043,16.2418256
38,2044,16.1303718
38,2045,16.018918
38,2046,15.9157018
38,2047,15.8124856
38,2048,15.7092694
38,2049,15.6060532
38,2050,15.502837
38,2051,15.38614109
38,2052,15.27880609
38,2053,15.17147109
38,2054,15.06413609
38,2055,14.95680109
38,2056,14.84946609
38,2057,14.74213109
38,2058,14.63479609
38,2059,14.52746109
38,2060,14.42012609
39,2020,5.457679
39,2021,5.4597214
39,2022,5.4617638
39,2023,5.4638062
39,2024,5.4658486
39,2025,5.467891
39,2026,5.4624588
39,2027,5.4570266
39,2028,5.4515944
39,2029,5.4461622
39,2030,5.44073
39,2031,5.4295064
39,2032,5.4182828
39,2033,5.4070592
39,2034,5.3958356
39,2035,5.384612
39,2036,5.3701774
39,2037,5.3557428
39,2038,5.3413082
39,2039,5.3268736
39,2040,5.312439
39,2041,5.296401
39,2042,5.280363
39,2043,5.264325
39,2044,5.248287
39,2045,5.232249
39,2046,5.2152422
39,2047,5.1982354
39,2048,5.1812286
39,2049,5.1642218
39,2050,5.147215
39,2051,5.131793509
39,2052,5.115271109
39,2053,5.098748709
39,2054,5.082226309
39,2055,5.065703909
39,2056,5.049181509
39,2057,5.032659109
39,2058,5.016136709
39,2059,4.999614309
39,2060,4.983091909
40,2020,2.095314
40,2021,2.0991718
40,2022,2.1030296
40,2023,2.1068874
40,2024,2.1107452
40,2025,2.114603
40,2026,2.1129456
40,2027,2.1112882
40,2028,2.1096308
40,2029,2.1079734
40,2030,2.106316
40,2031,2.1039836
40,2032,2.1016512
40,2033,2.0993188
40,2034,2.0969864
40,2035,2.094654
40,2036,2.0920476
40,2037,2.0894412
40,2038,2.0868348
40,2039,2.0842284
40,2040,2.081622
40,2041,2.0783736
40,2042,2.0751252
40,2043,2.0718768
40,2044,2.0686284
40,2045,2.06538
40,2046,2.0610542
40,2047,2.0567284
40,2048,2.0524026
40,2049,2.0480768
40,2050,2.043751
40,2051,2.041188218
40,2052,2.037401118
40,2053,2.033614018
40,2054,2.029826918
